year,city,country,avg_temp
1995,Irbil,Iraq,19.86
1996,Irbil,Iraq,20.13
1997,Irbil,Iraq,19.23
1998,Irbil,Iraq,20.65
1999,Irbil,Iraq,20.85
2000,Irbil,Iraq,20.28
2001,Irbil,Iraq,20.80
2002,Irbil,Iraq,20.10
2003,Irbil,Iraq,20.19
2004,Irbil,Iraq,20.00
2005,Irbil,Iraq,19.96
2006,Irbil,Iraq,20.12
2007,Irbil,Iraq,20.12
2008,Irbil,Iraq,20.46
2009,Irbil,Iraq,20.26
2010,Irbil,Iraq,21.97
2011,Irbil,Iraq,19.78
2012,Irbil,Iraq,20.70
2013,Irbil,Iraq,21.77
