Year,GLOBAL_AVG,LOCAL_AVG
1808,7.75,17.68
1834,7.92,18.53
1859,8.18,18.81
1884,8.15,18.74
1909,8.41,18.91
1934,8.67,19.17
1959,8.7,19.37
1984,9.27,20.04
